community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_no2_e	0.0	0.52	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_no3_e	0.0	0.48	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_no_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_o16a4colipa_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_o2_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_octa_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_orn_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_pheme_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_pi_e	0.0	0.99	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ppa_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_pro__L_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_progly_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ptrc_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_pullulan1200_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_pyr_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_raffin_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_rbt_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_rib__D_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ribflv_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_s_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_salcn_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_sbt__D_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ser__D_e	0.0	0.04	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ser__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_so3_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_so4_e	0.0	1.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_spmd_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_starch1200_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_starch_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_succ_e	0.0	0.06	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_sucr_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_tartr__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_tet_e	0.0	0.0	0	0.0
